date,fund,company,ticker,cusip,shares,market value ($),weight (%)
12/01/2025,ARKW,GITLAB INC-CL A,GTLB,37637K108,"732,284","$30,067,581.04",1.38%
12/01/2025,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,"187,083","$29,935,150.83",1.37%
12/01/2025,ARKW,NVIDIA CORP,NVDA,67066G104,"158,680","$28,086,360.00",1.29%
12/01/2025,ARKW,PURE STORAGE INC - CLASS A,PSTG,74624M102,"283,060","$25,181,017.60",1.15%
12/01/2025,ARKW,RUBRIK INC-A,RBRK,781154109,"361,845","$25,083,095.40",1.15%
12/01/2025,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,"948,972","$24,787,148.64",1.13%
12/01/2025,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,"2,404,988","$24,218,229.16",1.11%
12/01/2025,ARKW,BAIDU INC - SPON ADR,BIDU,056752108,"201,393","$23,540,827.77",1.08%
12/01/2025,ARKW,AIRBNB INC-CLASS A,ABNB,009066101,"200,087","$23,408,178.13",1.07%
12/01/2025,ARKW,DOORDASH INC - A,DASH,25809K105,"118,134","$23,434,241.58",1.07%
12/01/2025,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"38,538","$23,079,252.06",1.06%
12/01/2025,ARKW,MERCADOLIBRE INC,MELI,58733R102,"10,745","$22,261,276.10",1.02%
12/01/2025,ARKW,TOAST INC-CLASS A,TOST,888787108,"624,028","$21,335,517.32",0.98%
12/01/2025,ARKW,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"532,726","$21,074,640.56",0.96%
12/01/2025,ARKW,QUALCOMM INC,QCOM,747525103,"122,504","$20,591,697.36",0.94%
12/01/2025,ARKW,FIGMA INC-CL A,,316841105,"511,394","$18,394,842.18",0.84%
12/01/2025,ARKW,NETFLIX INC,NFLX,64110L106,"168,075","$18,081,508.50",0.83%
12/01/2025,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"112,480","$17,693,104.00",0.81%
12/01/2025,ARKW,PAGERDUTY INC,PD,69553P100,"1,394,220","$16,730,640.00",0.77%
12/01/2025,ARKW,NEXTDOOR HOLDINGS INC,NXDR,65345M108,"7,888,577","$13,805,009.75",0.63%
12/01/2025,ARKW,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"971,185","$11,599,039.40",0.53%
12/01/2025,ARKW,SALESFORCE INC,CRM,79466L302,"45,085","$10,393,895.90",0.48%
12/01/2025,ARKW,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"5,888,315","$5,888,315.49",0.27%
12/01/2025,ARKW,IBOTTA INC-CL A,IBTA,451051106,"244,569","$5,835,416.34",0.27%
12/01/2025,ARKW,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"500,664","$5,512,310.64",0.25%
12/01/2025,ARKW,BRERA HOLDINGS PLC-CL B,SLMT,G13311116,"1,400,327","$3,304,771.72",0.15%
12/01/2025,ARKW,BRERA HOLDINGS PLC WTS,,BREADUMMY,"1,395,691","$2,372,674.70",0.11%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2025. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
